ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6341522,HP425617,06/27/2008 12:00:00 PM,061XX S WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0825,008,15,66,14,1159428,1863876,2008,02/04/2016 06:33:39 AM,41.782192919,-87.69104007,"(41.782192919, -87.69104007)"
6341523,HP427960,07/01/2008 09:25:00 PM,067XX S KEDZIE AVE,0330,ROBBERY,AGGRAVATED,PARK PROPERTY,false,false,0831,008,18,66,03,1156205,1859901,2008,02/04/2016 06:33:39 AM,41.771350384,-87.702963388,"(41.771350384, -87.702963388)"
6341524,HP430316,07/02/2008 11:00:00 PM,042XX N HAZEL ST,0810,THEFT,OVER $500,STREET,false,false,2322,019,46,3,06,1169501,1928923,2008,02/04/2016 06:33:39 AM,41.960474443,-87.652217355,"(41.960474443, -87.652217355)"
6341525,HP415563,06/25/2008 03:07:02 PM,091XX S LUELLA AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,true,false,0413,004,7,48,03,1192768,1844708,2008,02/04/2016 06:33:39 AM,41.72884596,-87.569431995,"(41.72884596, -87.569431995)"
6341526,HP429426,06/21/2008 08:00:00 PM,053XX S WOOD ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0932,009,16,61,17,1165256,1869253,2008,02/04/2016 06:33:39 AM,41.796826631,-87.669520755,"(41.796826631, -87.669520755)"
6341527,HP429650,07/02/2008 06:51:11 PM,078XX S COLFAX AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0421,004,7,43,18,1194881,1853451,2008,02/04/2016 06:33:39 AM,41.752785759,-87.56140445,"(41.752785759, -87.56140445)"
6341528,HP425840,06/29/2008 06:00:00 PM,064XX S CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0812,008,13,64,14,1140201,1861090,2008,02/04/2016 06:33:39 AM,41.774920126,-87.761600527,"(41.774920126, -87.761600527)"
6341529,HP430318,07/02/2008 11:00:00 AM,094XX S CALUMET AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,true,0633,006,6,49,06,1180243,1842442,2008,02/04/2016 06:33:39 AM,41.722923641,-87.615382721,"(41.722923641, -87.615382721)"
6341530,HP429677,07/02/2008 01:00:00 PM,094XX S EGGLESTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2223,022,21,73,14,1174951,1842216,2008,02/04/2016 06:33:39 AM,41.722422943,-87.63477339,"(41.722422943, -87.63477339)"
6341531,HP415485,06/24/2008 07:30:00 PM,016XX S HARDING AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,1014,010,24,29,26,1150327,1891471,2008,02/04/2016 06:33:39 AM,41.858099141,-87.723689347,"(41.858099141, -87.723689347)"
6341532,HP425954,06/30/2008 05:00:00 PM,052XX S LINDER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0814,008,23,56,14,1140582,1869347,2008,02/04/2016 06:33:39 AM,41.797571805,-87.760001967,"(41.797571805, -87.760001967)"
6341534,HP429118,07/02/2008 12:50:00 PM,063XX S CALIFORNIA AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0823,008,15,66,03,1158800,1862550,2008,02/04/2016 06:33:39 AM,41.778567036,-87.693378684,"(41.778567036, -87.693378684)"
6341535,HP429774,07/02/2008 08:00:09 PM,075XX S CHAPPEL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0414,004,8,43,18,1191177,1855477,2008,02/04/2016 06:33:39 AM,41.758435668,-87.574912409,"(41.758435668, -87.574912409)"
